"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","id_viaje","grupo_viaje","periodo_fact_c_diaria"
A001696,2016-12-24,P.VIAJE,recreacion,recreacion_14,P.VIAJE4,-2967.0,V017,G014,201612
A014288,2024-05-03,P.VIAJE,deuda,deuda: nombre_12,P.VIAJE7,7082.070000000001,V133,G075,202405
A007193,2020-09-16,P.VIAJE,consumible,consumible_7130,P.VIAJE10,-1944.75,V079,G053,202009
A002895,2017-10-22,P.VIAJE,recreacion,recreacion_4,P.VIAJE2,-288.0,V028,G021,201710
A005408,2019-06-29,P.VIAJE,consumible,consumible_11090,P.VIAJE10,-2544.0,V062,G043,201906
A004876,2019-03-23,P.VIAJE,transporte,transporte_12,P.VIAJE7,-323.25,V052,G036,201903
A010814,2022-11-14,P.VIAJE,regalo,regalo: nombre_15,P.VIAJE2,-5646.0,V099,G065,202211
A005326,2019-06-16,P.VIAJE,transporte,transporte_7,P.VIAJE9,-11991.0,V061,G042,201906
A004829,2019-03-17,P.VIAJE,necesidad,necesidad_15,P.VIAJE7,-9972.725999999999,V051,G035,201903
A004805,2019-03-16,P.VIAJE,necesidad,necesidad_12,P.VIAJE2,-54915.2775,V051,G035,201903
A011062,2023-01-01,P.VIAJE,regalo,regalo: nombre_5,P.VIAJE5,-6703.5,V100,G066,202301
A004986,2019-04-12,P.VIAJE,regalo,regalo: nombre_19,P.VIAJE4,-16926.0,V055,G038,201904
A013791-1,2024-04-09,P.VIAJE,deuda,deuda: nombre_19,P.VIAJE2,-2518.9725000000003,V116,G075,202404
A004849,2019-03-21,P.VIAJE,transporte,transporte_6,P.VIAJE6,-13222.635,V052,G036,201903
A006323,2020-01-07,P.VIAJE,necesidad,necesidad_8,P.VIAJE10,-42530.895000000004,V078,G052,202001
A008751,2021-10-30,P.VIAJE,recreacion,recreacion_7,P.VIAJE9,-1909.5,V084,G057,202110
A014728,2024-08-10,P.VIAJE,consumible,consumible_10135,P.VIAJE5,-781.5,V139,G077,202408
A002786,2017-10-06,P.VIAJE,consumible,consumible_9320,P.VIAJE10,-10581.0,V026,G020,201710
A001929,2017-03-12,P.VIAJE,transporte,transporte_12,P.VIAJE10,-5598.765,V019,G016,201703
A013950-1,2024-04-20,P.VIAJE,deuda,deuda: nombre_6,P.VIAJE1,-3992.7749999999996,V123,G075,202404
A003664,2018-05-04,P.VIAJE,consumible,consumible_10556,P.VIAJE4,-3531.0,V045,G029,201805
A008634,2021-10-05,P.VIAJE,regalo,regalo: nombre_6,P.VIAJE2,-8832.6,V084,G057,202110
A001434,2016-09-24,P.VIAJE,necesidad,necesidad_3,P.VIAJE10,-14074.275000000001,V013,G011,201609
A013859,2024-04-15,P.VIAJE,consumible,consumible_8082,P.VIAJE8,-6292.485,V121,G075,202404
A011919,2023-05-28,P.VIAJE,deuda,deuda: nombre_18,P.VIAJE1,28194.0,V101,G067,202305
A003920,2018-06-24,P.VIAJE,consumible,consumible_8677,P.VIAJE3,-993.0,V047,G031,201806
A002331,2017-06-11,P.VIAJE,recreacion,recreacion_5,P.VIAJE7,-2403.0,V023,G017,201706
A013787,2024-04-09,P.VIAJE,consumible,consumible_6972,P.VIAJE8,-345.10499999999996,V116,G075,202404
A005807,2019-10-02,P.VIAJE,gustos,"8.gustos_12",P.VIAJE3,-100116.0,V065,G046,201910
A014262,2024-05-03,P.VIAJE,deuda,deuda: nombre_5,P.VIAJE1,1129.7549999999999,V123,G075,202405
A005295,2019-06-14,P.VIAJE,regalo,regalo: nombre_1,P.VIAJE4,-3531.0,V061,G042,201906
A003009,2017-11-15,P.VIAJE,evento,evento_5737,P.VIAJE3,-16861.14,V031,G022,201711
A002016,2017-03-19,P.VIAJE,consumible,consumible_10624,P.VIAJE6,-4077.375,V021,G016,201703
A013149,2024-01-07,P.VIAJE,hogar,hogar_5013,P.VIAJE7,-2403.0,V113,G072,202401
A011884,2023-05-15,P.VIAJE,consumible,consumible: nombre_7,P.VIAJE4,-3531.0,V102,G067,202305
A010507,2022-09-30,P.VIAJE,transporte,transporte_9,P.VIAJE4,-79671.0,V095,G064,202209
A009477,2022-05-16,P.VIAJE,recreacion,recreacion_7,P.VIAJE10,-2826.0,V086,G059,202205
A013655,2024-03-27,P.VIAJE,deuda,deuda: nombre_20,P.VIAJE5,21144.0,V114,G074,202403
A013101,2023-12-22,P.VIAJE,recreacion,recreacion_20,P.VIAJE2,-1416.0,V113,G072,202312
A011098,2023-01-09,P.VIAJE,consumible,consumible_10710,P.VIAJE10,-1345.5,V100,G066,202301
A014211,2024-05-03,P.VIAJE,deuda,deuda: nombre_14,P.VIAJE10,6269.5575,V118,G075,202405
A001390,2016-09-17,P.VIAJE,recreacion,recreacion_14,P.VIAJE2,-51747.36,V011,G010,201609
A005564,2019-08-10,P.VIAJE,deuda,deuda: nombre_15,P.VIAJE5,-5082.0,V063,G044,201908
A013229,2024-01-13,P.VIAJE,necesidad,necesidad_19,P.VIAJE9,-229295.26499999998,V122,G075,202401
A014009,2024-04-26,P.VIAJE,regalo,regalo: nombre_3,P.VIAJE5,-2489.0099999999998,V132,G075,202404
A013521,2024-03-11,P.VIAJE,deuda,deuda: nombre_6,P.VIAJE9,-23450.07,V116,G075,202403
A011013,2022-12-17,P.VIAJE,recreacion,recreacion_11,P.VIAJE6,-1416.0,V100,G066,202212
A009790,2022-07-22,P.VIAJE,transporte,transporte_10,P.VIAJE1,-5905.4400000000005,V088,G061,202207
A010177,2022-08-20,P.VIAJE,consumible,consumible_9851,P.VIAJE9,-7056.0,V089,G062,202208
A013949,2024-04-20,P.VIAJE,transporte,transporte_20,P.VIAJE5,-3969.1575000000003,V123,G075,202404
A003049,2017-11-24,P.VIAJE,transporte,transporte_11,P.VIAJE5,-12906.09,V034,G022,201711
A009794,2022-07-22,P.VIAJE,recreacion,recreacion_2,P.VIAJE2,-3178.5,V088,G061,202207
A010310,2022-09-03,P.VIAJE,gustos,"1.gustos_5",P.VIAJE5,-21156.0,V094,G063,202209
A006289,2019-12-30,P.VIAJE,gustos,gustos_5478,P.VIAJE2,-83627.178,V075,G050,201912
A014623,2024-07-19,P.VIAJE,recreacion,recreacion_19,P.VIAJE1,-4447.5,V135,G076,202407
A013353,2024-02-05,P.VIAJE,deuda,deuda: nombre_20,P.VIAJE6,44892.63,V128,G075,202402
A015496,2025-02-27,P.VIAJE,deuda,deuda: nombre_2,P.VIAJE9,277327.605,V143,G081,202502
A013779,2024-04-09,P.VIAJE,consumible,consumible_11272,P.VIAJE8,-2198.55,V116,G075,202404
A013657,2024-03-27,P.VIAJE,consumible,consumible_8238,P.VIAJE2,-3531.0,V114,G074,202403
A011610,2023-03-31,P.VIAJE,evento,"5.evento_9",P.VIAJE2,-394806.0,V109,G071,202303
A009509,2022-05-19,P.VIAJE,regalo,regalo: nombre_17,P.VIAJE7,-3672.0,V086,G059,202205
A014193,2024-05-03,P.VIAJE,deuda,deuda: nombre_9,P.VIAJE2,2871.4575,V116,G075,202405
A010523,2022-10-02,P.VIAJE,necesidad,necesidad_8,P.VIAJE8,-42306.0,V096,G064,202210
A005750,2019-09-28,P.VIAJE,transporte,transporte_4,P.VIAJE2,-8606.295,V065,G046,201909
A013850-1,2024-04-14,P.VIAJE,deuda,deuda: nombre_5,P.VIAJE7,-3146.7749999999996,V120,G075,202404
A013864,2024-04-16,P.VIAJE,consumible,consumible_9219,P.VIAJE1,-5908.965,V121,G075,202404
A015472,2025-02-24,P.VIAJE,deuda,deuda: nombre_6,P.VIAJE5,-277339.605,V143,G081,202502
A013811-1,2024-04-11,P.VIAJE,deuda,deuda: nombre_1,P.VIAJE7,-7536.4574999999995,V118,G075,202404
A011907,2023-05-25,P.VIAJE,consumible,consumible_10051,P.VIAJE9,-2378.325,V101,G067,202305
A009486,2022-05-17,P.VIAJE,consumible,consumible_10380,P.VIAJE10,-15516.0,V086,G059,202205
A008712,2021-10-23,P.VIAJE,consumible,consumible_8169,P.VIAJE1,-6067.59,V083,G056,202110
A013879,2024-04-16,P.VIAJE,consumible,consumible_11200,P.VIAJE10,-1915.845,V122,G075,202404
A012345,2023-07-28,P.VIAJE,consumible,consumible_8174,P.VIAJE6,-12273.0,V105,G069,202307
A013867-1,2024-04-16,P.VIAJE,deuda,deuda: nombre_15,P.VIAJE7,-14825.805,V122,G075,202404
A011962,2023-06-04,P.VIAJE,consumible,consumible_7755,P.VIAJE5,-1698.0,V102,G067,202306
A008754,2021-10-31,P.VIAJE,regalo,regalo: nombre_5,P.VIAJE5,-10581.0,V084,G057,202110
A003031,2017-11-19,P.VIAJE,consumible,consumible_10751,P.VIAJE9,-2156.25,V034,G022,201711
A011100,2023-01-09,P.VIAJE,consumible,consumible_7790,P.VIAJE10,-1063.5,V100,G066,202301
A010163,2022-08-19,P.VIAJE,regalo,regalo: nombre_16,P.VIAJE9,-3495.75,V089,G062,202208
A013990-1,2024-04-24,P.VIAJE,deuda,deuda: nombre_10,P.VIAJE5,-3228.555,V129,G075,202404
A000483,2015-11-21,P.VIAJE,transporte,transporte_5,P.VIAJE9,-1416.0,V005,G004,201511
A010184,2022-08-20,P.VIAJE,consumible,consumible_10490,P.VIAJE10,-499.5,V091,G062,202208
A005777,2019-09-29,P.VIAJE,consumible,consumible_7694,P.VIAJE6,-15516.0,V065,G046,201909
A011090,2023-01-07,P.VIAJE,consumible,consumible_11642,P.VIAJE8,-2826.0,V100,G066,202301
A010164,2022-08-19,P.VIAJE,necesidad,necesidad_11,P.VIAJE8,-81852.27,V089,G062,202208
A013860-1,2024-04-15,P.VIAJE,deuda,deuda: nombre_3,P.VIAJE3,-6921.345,V121,G075,202404
A005832,2019-10-03,P.VIAJE,consumible,consumible_11189,P.VIAJE1,-6915.0,V066,G046,201910
A013419,2024-02-19,P.VIAJE,deuda,deuda: nombre_13,P.VIAJE10,-41670.795,V117,G075,202402
A005772,2019-09-29,P.VIAJE,consumible,consumible_10833,P.VIAJE7,-2826.0,V065,G046,201909
A014259,2024-05-03,P.VIAJE,deuda,deuda: nombre_19,P.VIAJE8,1929.93,V122,G075,202405
A002800,2017-10-07,P.VIAJE,recreacion,recreacion_13,P.VIAJE7,-711.0,V026,G020,201710
A004808,2019-03-16,P.VIAJE,necesidad,necesidad_5,P.VIAJE2,-11475.644999999999,V051,G035,201903
A002993,2017-11-12,P.VIAJE,transporte,transporte_12,P.VIAJE2,-3489.4049999999997,V031,G022,201711
A000282,2015-09-03,P.VIAJE,transporte,transporte_5,P.VIAJE8,-70435.5,V005,G004,201509
A013793,2024-04-10,P.VIAJE,hogar,hogar_4778,P.VIAJE2,-21190.545000000002,V116,G075,202404
A013007,2023-12-01,P.VIAJE,consumible,consumible_10738,P.VIAJE2,-2790.75,V110,G072,202312
A002774,2017-10-05,P.VIAJE,consumible,consumible_9914,P.VIAJE6,-5928.0,V026,G020,201710
A013782-1,2024-04-09,P.VIAJE,deuda,deuda: nombre_2,P.VIAJE3,-1507.65,V116,G075,202404
A005759,2019-09-28,P.VIAJE,evento,evento_5652,P.VIAJE8,-2473.5,V065,G046,201909
A013778-1,2024-04-09,P.VIAJE,deuda,deuda: nombre_9,P.VIAJE9,-100.11749999999999,V116,G075,202404
A004840,2019-03-17,P.VIAJE,deuda,deuda: nombre_15,P.VIAJE10,21144.0,V051,G035,201903
A014252,2024-05-03,P.VIAJE,deuda,deuda: nombre_15,P.VIAJE1,3037.1325,V122,G075,202405
A013961-1,2024-04-21,P.VIAJE,deuda,deuda: nombre_7,P.VIAJE8,-16898.1525,V125,G075,202404
A011022,2022-12-19,P.VIAJE,consumible,consumible_9601,P.VIAJE9,-1724.79,V100,G066,202212
A007229,2020-09-20,P.VIAJE,transporte,transporte_9,P.VIAJE4,-34359.945,V080,G053,202009
A015697,2025-04-18,P.VIAJE,transporte,transporte_6,P.VIAJE1,-7126.5,V143,G081,202504
A015685,2025-04-16,P.VIAJE,consumible,consumible_7961,P.VIAJE9,-8395.5,V143,G081,202504
A013631,2024-03-23,P.VIAJE,deuda,deuda: nombre_4,P.VIAJE10,10569.0,V114,G074,202403
A007206,2020-09-17,P.VIAJE,consumible,consumible_9587,P.VIAJE3,-1227.7649999999999,V079,G053,202009
A002337,2017-06-12,P.VIAJE,recreacion,recreacion_8,P.VIAJE1,-13753.5,V023,G017,201706
A009685,2022-06-29,P.VIAJE,transporte,transporte_13,P.VIAJE2,-19393.5,V087,G060,202206
A003850,2018-06-13,P.VIAJE,deuda,deuda: nombre_13,P.VIAJE1,63112.649999999994,V047,G031,201806
A015676,2025-04-15,P.VIAJE,regalo,regalo: nombre_10,P.VIAJE9,-7056.0,V143,G081,202504
A001422,2016-09-23,P.VIAJE,necesidad,necesidad_13,P.VIAJE3,-9813.255000000001,V013,G011,201609
A015495,2025-02-27,P.VIAJE,deuda,deuda_6193,P.VIAJE7,124849.5,V143,G081,202502
A012938,2023-11-17,P.VIAJE,deuda,deuda: nombre_15,P.VIAJE9,-1085388.75,V115,G075,202311
A015914,2025-07-05,P.VIAJE,regalo,regalo: nombre_2,P.VIAJE10,-1980.0,V145,G082,202507
A001079,2016-06-04,P.VIAJE,consumible,consumible_8663,P.VIAJE7,-2121.0,V010,G009,201606
A014636,2024-07-25,P.VIAJE,consumible,consumible_10398,P.VIAJE2,-5776.424999999999,V138,G076,202407
A013926,2024-04-19,P.VIAJE,consumible,consumible_10402,P.VIAJE8,-4224.72,V123,G075,202404
A011941,2023-06-01,P.VIAJE,transporte,transporte_6,P.VIAJE1,-60494.295,V102,G067,202306
A014726,2024-08-10,P.VIAJE,consumible,consumible_9800,P.VIAJE10,-14035.5,V139,G077,202408
A014168,2024-05-03,P.VIAJE,deuda,deuda: nombre_7,P.VIAJE8,888.645,V131,G075,202405
A013881,2024-04-16,P.VIAJE,consumible,consumible_10343,P.VIAJE7,-1819.6125000000002,V122,G075,202404
A012611,2023-09-23,P.VIAJE,consumible,consumible_10831,P.VIAJE9,-2403.0,V109,G071,202309
A000491,2015-11-21,P.VIAJE,consumible,consumible_9815,P.VIAJE5,-1416.0,V005,G004,201511
A003083,2017-11-27,P.VIAJE,deuda,deuda_6147,P.VIAJE3,-9876.0,V036,G022,201711
A003072,2017-11-26,P.VIAJE,regalo,regalo: nombre_18,P.VIAJE1,-5772.195000000001,V034,G022,201711
A013794-1,2024-04-10,P.VIAJE,deuda,deuda: nombre_1,P.VIAJE4,-12615.9825,V116,G075,202404
A013721,2024-04-02,P.VIAJE,deuda,deuda: nombre_20,P.VIAJE3,19438.2525,V131,G075,202404
A011028,2022-12-21,P.VIAJE,recreacion,recreacion_8,P.VIAJE6,-9876.0,V100,G066,202212
A009771,2022-07-20,P.VIAJE,consumible,consumible_9551,P.VIAJE9,-1486.5,V088,G061,202207
A013962,2024-04-21,P.VIAJE,consumible,consumible_11840,P.VIAJE10,-5203.26,V125,G075,202404
A013590,2024-03-13,P.VIAJE,deuda,deuda: nombre_17,P.VIAJE1,-20441.482500000002,V125,G075,202403
A013799,2024-04-10,P.VIAJE,deuda,deuda: nombre_2,P.VIAJE8,-20307.18,V116,G075,202404
A011930,2023-05-29,P.VIAJE,hogar,hogar_5122,P.VIAJE8,-3072.75,V101,G067,202305
A013903,2024-04-18,P.VIAJE,transporte,transporte_4,P.VIAJE9,-2768.895,V122,G075,202404
A013892,2024-04-17,P.VIAJE,deuda,deuda: nombre_6,P.VIAJE8,-2568.675,V122,G075,202404
A013871,2024-04-16,P.VIAJE,deuda,deuda: nombre_1,P.VIAJE1,-2864.07,V122,G075,202404
A010193,2022-08-21,P.VIAJE,regalo,regalo: nombre_4,P.VIAJE2,-6492.0,V092,G062,202208
A014701,2024-08-05,P.VIAJE,consumible,consumible: nombre_12,P.VIAJE6,-24681.0,V138,G076,202408
A015594,2025-03-30,P.VIAJE,consumible,consumible_7982,P.VIAJE8,-2121.0,V142,G080,202503
A002851,2017-10-19,P.VIAJE,deuda,deuda: nombre_19,P.VIAJE7,119844.0,V027,G021,201710
A004884,2019-03-23,P.VIAJE,regalo,regalo: nombre_19,P.VIAJE8,-3531.0,V052,G036,201903
A011066,2023-01-01,P.VIAJE,consumible,consumible_9633,P.VIAJE7,-9876.0,V100,G066,202301
A007194,2020-09-16,P.VIAJE,transporte,transporte_3,P.VIAJE4,-1592.25,V079,G053,202009
A011881,2023-05-15,P.VIAJE,consumible,consumible: nombre_6,P.VIAJE3,-2826.0,V101,G067,202305
A004996,2019-04-14,P.VIAJE,transaccion,transaccion_8,P.VIAJE4,1404.0,V054,G038,201904
A002608,2017-08-15,RECREACION,evento,evento_7826,RECREACION4,-2510.8650000000002,V027,G021,201708
A003773,2018-05-26,P.VIAJE,consumible,consumible_10982,P.VIAJE8,-1486.5,V046,G030,201805
A009505,2022-05-19,P.VIAJE,consumible,consumible_8290,P.VIAJE10,-13753.5,V086,G059,202205
A000485,2015-11-21,P.VIAJE,evento,evento_5740,P.VIAJE10,-7408.5,V005,G004,201511
A014113,2024-05-03,P.VIAJE,deuda,deuda: nombre_11,P.VIAJE1,5521.905,V120,G075,202405
A011003,2022-12-15,P.VIAJE,consumible,consumible_8079,P.VIAJE1,-9171.0,V100,G066,202212
A000561,2015-12-17,LIBRE,consumible,consumible_3018,LIBRE1,-2826.0,V006,G005,201512
A013234,2024-01-13,P.VIAJE,deuda,deuda: nombre_1,P.VIAJE6,-80481.045,V129,G075,202401
A010166,2022-08-19,P.VIAJE,consumible,consumible_8146,P.VIAJE4,-4941.0,V089,G062,202208
A013207,2024-01-11,P.VIAJE,transporte,transporte_17,P.VIAJE6,-56899.5,V116,G075,202401
A013526,2024-03-11,P.VIAJE,evento,evento_5812,P.VIAJE8,-11728.035,V119,G075,202403
A004896,2019-03-24,P.VIAJE,consumible,consumible_9824,P.VIAJE6,-4941.0,V052,G036,201903
A003903,2018-06-22,P.VIAJE,consumible,consumible_8528,P.VIAJE2,-10581.0,V047,G031,201806
A013875,2024-04-16,P.VIAJE,deuda,deuda: nombre_17,P.VIAJE4,-3377.31,V122,G075,202404
A010174,2022-08-19,P.VIAJE,consumible,consumible_10676,P.VIAJE4,-217.5,V089,G062,202208
A008748,2021-10-30,P.VIAJE,consumible,consumible_11754,P.VIAJE6,-10581.0,V084,G057,202110
A010290,2022-09-02,P.VIAJE,recreacion,recreacion_16,P.VIAJE7,-2473.5,V094,G063,202209
A015627,2025-04-09,P.VIAJE,regalo,regalo: nombre_13,P.VIAJE7,-95498.25,V143,G081,202504
A002020,2017-03-20,P.VIAJE,consumible,consumible_11317,P.VIAJE3,-5505.0,V022,G016,201703
A005754,2019-09-28,P.VIAJE,gustos,gustos_5488,P.VIAJE2,-20803.5,V065,G046,201909
A002994,2017-11-12,P.VIAJE,transporte,transporte_13,P.VIAJE1,-11242.994999999999,V031,G022,201711
A013764,2024-04-09,P.VIAJE,transporte,transporte_18,P.VIAJE4,-1576.74,V115,G075,202404
A013103,2023-12-23,P.VIAJE,regalo,regalo: nombre_5,P.VIAJE4,-7056.0,V112,G072,202312
A011018,2022-12-19,P.VIAJE,consumible,consumible_7803,P.VIAJE7,-2826.0,V100,G066,202212
A009500,2022-05-19,P.VIAJE,consumible,consumible_11505,P.VIAJE5,-2826.0,V086,G059,202205
A014229,2024-05-03,P.VIAJE,deuda,deuda: nombre_20,P.VIAJE8,1878.465,V119,G075,202405
A014265,2024-05-03,P.VIAJE,deuda,deuda: nombre_14,P.VIAJE4,1324.335,V123,G075,202405
A006316,2020-01-04,P.VIAJE,transporte,transporte_4,P.VIAJE10,-84253.5,V088,G061,202001
A009763,2022-07-20,P.VIAJE,consumible,consumible_10734,P.VIAJE6,-2191.5,V088,G061,202207
A006452,2020-02-26,RECREACION,deuda,deuda: nombre_17,RECREACION6,-1416.0,V077,G051,202002
A003908,2018-06-23,P.VIAJE,consumible,consumible_10440,P.VIAJE10,-4236.0,V047,G031,201806
A014024,2024-04-26,P.VIAJE,consumible,consumible_8516,P.VIAJE4,-7483.9349999999995,V132,G075,202404
A013832,2024-04-13,P.VIAJE,consumible,consumible_8524,P.VIAJE6,-17595.75,V119,G075,202404
A005404,2019-06-29,P.VIAJE,consumible,consumible_8461,P.VIAJE9,-2050.5,V062,G043,201906
A006426,2020-02-16,INGRESO,actividad,actividad_16,INGRESO3,-711.0,V096,G064,202002
A004822,2019-03-16,P.VIAJE,necesidad,necesidad_17,P.VIAJE2,-14151.8955,V051,G035,201903
A002884,2017-10-21,P.VIAJE,consumible,consumible_7748,P.VIAJE2,-5646.0,V027,G021,201710
A013856,2024-04-15,P.VIAJE,deuda,deuda: nombre_3,P.VIAJE10,-696.9000000000001,V121,G075,202404
A014041,2024-04-29,P.VIAJE,deuda,deuda: nombre_8,P.VIAJE10,-19041.0,V133,G075,202404
A003900,2018-06-22,P.VIAJE,recreacion,recreacion_6,P.VIAJE5,-3531.0,V047,G031,201806
A013567,2024-03-12,P.VIAJE,evento,evento_5792,P.VIAJE8,-41645.7675,V122,G075,202403
A010538,2022-10-03,P.VIAJE,consumible,consumible_10422,P.VIAJE8,-8889.0,V097,G064,202210
A011068,2023-01-02,P.VIAJE,consumible,consumible_11681,P.VIAJE9,-13401.0,V100,G066,202301
A010536,2022-10-03,P.VIAJE,recreacion,recreacion_3,P.VIAJE2,-4236.0,V096,G064,202210
A002781,2017-10-06,P.VIAJE,evento,evento_5671,P.VIAJE9,-5998.5,V026,G020,201710
A015645,2025-04-12,P.VIAJE,consumible,consumible_10583,P.VIAJE7,-1698.0,V143,G081,202504
A009009,2021-12-23,P.VIAJE,regalo,regalo: nombre_15,P.VIAJE3,-957.75,V085,G058,202112
A002014,2017-03-19,P.VIAJE,consumible,consumible_7217,P.VIAJE3,-4077.375,V021,G016,201703
A014642,2024-07-27,P.VIAJE,hogar,hogar_4773,P.VIAJE7,-3883.5,V138,G076,202407
A005818,2019-10-03,P.VIAJE,transporte,transporte_16,P.VIAJE2,-429.0,V066,G046,201910
A013866,2024-04-16,P.VIAJE,regalo,regalo: nombre_18,P.VIAJE6,-5533.200000000001,V121,G075,202404
A009504,2022-05-19,P.VIAJE,recreacion,recreacion_16,P.VIAJE2,-4236.0,V086,G059,202205
A005710,2019-09-21,P.VIAJE,consumible,consumible_7849,P.VIAJE1,-2403.0,V064,G045,201909
A013120,2023-12-26,P.VIAJE,transaccion,transaccion_9,P.VIAJE10,-3531.0,V113,G072,202312
A001073,2016-06-04,P.VIAJE,transporte,transporte_18,P.VIAJE3,-21156.0,V010,G009,201606
A011083,2023-01-05,P.VIAJE,consumible,consumible_7726,P.VIAJE4,-25935.9,V100,G066,202301
A003649,2018-05-03,P.VIAJE,gustos,"5.gustos_17",P.VIAJE5,-5998.5,V045,G029,201805
A005955,2019-10-24,RECREACION,invitacion,invitacion: nombre_19,RECREACION7,-1063.5,V070,G047,201910
A003922,2018-06-24,P.VIAJE,transporte,transporte_5,P.VIAJE1,-16199.849999999999,V047,G031,201806
A013244,2024-01-13,P.VIAJE,deuda,deuda: nombre_18,P.VIAJE1,-166985.95500000002,V116,G075,202401
A010190,2022-08-21,P.VIAJE,transporte,transporte_2,P.VIAJE2,-7620.0,V092,G062,202208
A005399,2019-06-29,P.VIAJE,consumible,consumible_10041,P.VIAJE9,-1698.0,V062,G043,201906
A013868-1,2024-04-16,P.VIAJE,deuda,deuda: nombre_2,P.VIAJE8,-1544.31,V122,G075,202404
A001446,2016-09-25,P.VIAJE,necesidad,necesidad_11,P.VIAJE5,-11202.81,V013,G011,201609
A014146,2024-05-03,P.VIAJE,deuda,deuda: nombre_3,P.VIAJE5,9739.215,V123,G075,202405
A005310,2019-06-14,P.VIAJE,recreacion,recreacion_15,P.VIAJE7,-3531.0,V061,G042,201906
A002803,2017-10-07,P.VIAJE,consumible,consumible_10448,P.VIAJE2,-7056.0,V026,G020,201710
A009413,2022-04-29,P.VIAJE,transporte,transporte_2,P.VIAJE7,-149095.875,V086,G059,202204
A013961,2024-04-21,P.VIAJE,consumible,consumible_8208,P.VIAJE2,-16898.1525,V125,G075,202404
A011895,2023-05-23,P.VIAJE,gustos,gustos_5510,P.VIAJE10,-8884.064999999999,V101,G067,202305
A000611,2016-01-02,P.VIAJE,consumible,consumible_7220,P.VIAJE10,-2262.0,V007,G006,201601
A004897,2019-03-24,P.VIAJE,regalo,regalo: nombre_12,P.VIAJE10,-2826.0,V052,G036,201903
A000616,2016-01-03,P.VIAJE,transporte,transporte_4,P.VIAJE2,-10581.0,V007,G006,201601
A001941-2,2017-03-13,P.VIAJE,deuda,deuda: nombre_3,P.VIAJE9,-69801.0,V020,G016,201703
A014646,2024-07-27,P.VIAJE,deuda,deuda: nombre_18,P.VIAJE3,-31731.0,V138,G076,202407
A007216,2020-09-19,P.VIAJE,transporte,transporte_10,P.VIAJE9,-2826.0,V080,G053,202009
A014739,2024-08-11,P.VIAJE,consumible,consumible_9733,P.VIAJE7,-10792.5,V139,G077,202408
A013795-1,2024-04-10,P.VIAJE,deuda,deuda: nombre_20,P.VIAJE5,-1582.3799999999999,V116,G075,202404
A011073,2023-01-03,P.VIAJE,consumible,consumible_9739,P.VIAJE1,-8818.5,V100,G066,202301
A014624,2024-07-19,P.VIAJE,recreacion,recreacion_20,P.VIAJE4,-2826.0,V135,G076,202407
A010319,2022-09-04,P.VIAJE,consumible,consumible_9790,P.VIAJE10,-2614.5,V094,G063,202209
A003020,2017-11-18,P.VIAJE,transporte,transporte_1,P.VIAJE3,-6025.995,V032,G022,201711
A015625,2025-04-09,P.VIAJE,evento,evento_5684,P.VIAJE6,-95498.25,V143,G081,202504
A001412,2016-09-23,P.VIAJE,necesidad,"2.necesidad_18",P.VIAJE4,-26452.665,V013,G011,201609
A002864,2017-10-20,P.VIAJE,consumible,consumible_10712,P.VIAJE8,-640.5,V027,G021,201710
A011058,2022-12-31,P.VIAJE,consumible,consumible_8595,P.VIAJE5,-2473.5,V100,G066,202212
A015918,2025-07-06,P.VIAJE,consumible,consumible_11494,P.VIAJE6,-2826.0,V146,G082,202507
A013104,2023-12-23,P.VIAJE,consumible,consumible_8398,P.VIAJE2,-7056.0,V112,G072,202312
A009791,2022-07-22,P.VIAJE,consumible,consumible_10426,P.VIAJE4,-4095.0,V088,G061,202207
A011904,2023-05-25,P.VIAJE,hogar,hogar_4834,P.VIAJE6,-371722.89,V101,G067,202305
A012653,2023-09-27,P.VIAJE,regalo,regalo: nombre_14,P.VIAJE10,-1768.5,V109,G071,202309
A013767-1,2024-04-09,P.VIAJE,deuda,deuda: nombre_4,P.VIAJE1,-7341.525,V115,G075,202404
A005269,2019-06-09,P.VIAJE,transporte,transporte: nombre_2,P.VIAJE7,2109.0,V060,G041,201906
A009460,2022-05-14,P.VIAJE,consumible,consumible_8038,P.VIAJE2,-534.75,V086,G059,202205
A006260,2019-12-25,P.VIAJE,regalo,regalo: nombre_13,P.VIAJE5,-4982.595,V075,G050,201912
A014167,2024-05-03,P.VIAJE,deuda,deuda: nombre_12,P.VIAJE7,1187.565,V131,G075,202405
A011084,2023-01-05,P.VIAJE,consumible,consumible_7720,P.VIAJE10,25867.5,V100,G066,202301
A015655,2025-04-13,P.VIAJE,transporte,transporte_1,P.VIAJE1,-12273.0,V143,G081,202504
A014638,2024-07-27,P.VIAJE,hogar,hogar_4840,P.VIAJE10,-5082.0,V138,G076,202407
A002860,2017-10-19,P.VIAJE,recreacion,recreacion_12,P.VIAJE10,-1416.0,V027,G021,201710
A011933,2023-05-30,P.VIAJE,hogar,hogar_4775,P.VIAJE5,-4588.5,V101,G067,202305
A013808-1,2024-04-11,P.VIAJE,deuda,deuda: nombre_1,P.VIAJE4,-8791.710000000001,V118,G075,202404
A014749,2024-08-11,P.VIAJE,regalo,regalo: nombre_13,P.VIAJE2,-2473.5,V139,G077,202408
